Total_Cases,Total_Recovered,Total_Deaths,Days_Gone
0,0,0,22
0,0,0,23
0,0,0,24
0,0,0,25
0,0,0,26
0,0,0,27
0,0,0,28
0,0,0,29
0,0,0,30
0,0,0,31
0,0,0,32
0,0,0,33
0,0,0,34
0,0,0,35
0,0,0,36
0,0,0,37
0,0,0,38
0,0,0,39
0,0,0,40
0,0,0,41
0,0,0,42
0,0,0,43
0,0,0,44
0,0,0,45
0,0,0,46
0,0,0,47
0,0,0,48
0,0,0,49
0,0,0,50
0,0,0,51
0,0,0,52
0,0,0,53
0,0,0,54
0,0,0,55
0,0,0,56
0,0,0,57
0,0,0,58
0,0,0,59
0,0,0,60
0,0,0,61
0,0,0,62
0,0,0,63
0,0,0,64
0,0,0,65
0,0,0,66
0,0,0,67
0,0,0,68
0,0,0,69
0,0,0,70
1,0,0,71
1,0,0,72
5,0,0,73
5,0,0,74
6,0,0,75
18,0,0,76
47,0,1,77
98,0,1,78
192,0,3,79
359,0,4,80
670,0,9,81
1236,0,30,82
1529,0,37,83
1872,0,44,84
2433,26,59,85
3629,26,75,86
5698,42,92,87
7402,70,108,88
9217,105,131,89
10827,162,168,90
13531,243,214,91
15679,333,277,92
18135,415,356,93
20921,484,425,94
23934,786,501,95
27069,1042,574,96
30217,1326,649,97
34109,1582,725,98
38226,1846,812,99
42282,2142,908,100
47029,2423,1006,101
52167,2965,1101,102
56956,3446,1198,103
61049,3957,1296,104
65111,4799,1403,105
69392,5674,1518,106
74193,7089,1643,107
78546,8631,1769,108
82329,10453,1890,109
86306,11976,2017,110
90980,13430,2140,111
95591,14918,2259,112
98674,16477,2376,113
101790,18491,2491,114
104912,21737,2600,115
107773,25582,2706,116
110130,29140,2805,117
112261,33791,2900,118
114653,38809,2992,119
117589,44040,3081,120
120204,48886,3174,121
122392,53808,3258,122
124375,58259,3336,123
126045,63151,3397,124
127659,68166,3461,125
129491,73285,3520,126
131744,78202,3584,127
133721,82984,3641,128
135569,86396,3689,129
137115,89480,3739,130
138657,92691,3786,131
139771,95780,3841,132
141475,98889,3894,133
143114,101715,3952,134
144749,104030,4007,135
146457,106133,4055,136
148067,108137,4096,137
149435,109962,4140,138
150593,111577,4171,139
151615,112895,4199,140
152587,113987,4222,141
153548,114990,4249,142
154500,116111,4276,143
155686,117602,4308,144
156827,118694,4340,145
157814,120015,4369,146
158762,121507,4397,147
159797,122793,4431,148
160979,124369,4461,149
162120,125963,4489,150
163103,126984,4515,151
163942,127973,4540,152
164769,128947,4563,153
165555,129921,4585,154
